Case_ID,HD95_WT,HD95_TC,HD95_ET
BRATS_061,17.01322386466685,2.0,1.0
BRATS_062,1.4142135623730951,1.0,1.0
BRATS_063,2.23606797749979,2.449489742783178,1.7320508075688772
BRATS_064,9.0,5.0,2.23606797749979
BRATS_065,5.830951894845301,1.0,1.0
BRATS_066,2.23606797749979,1.7320508075688772,1.0
BRATS_067,1.4142135623730951,1.4142135623730951,1.4142135623730951
BRATS_068,2.0,3.3166247903554,1.0
BRATS_069,23.769728648009426,1.4142135623730951,1.0
BRATS_070,2.449489742783178,3.605551275463989,1.7320508075688772
BRATS_071,8.602325267042627,12.36931687685298,8.06225774829855
BRATS_072,7.810249675906654,2.23606797749979,1.4142135623730951
BRATS_073,2.23606797749979,1.0,1.0
BRATS_074,9.273618495495704,33.62439117423726,29.831191305492414
BRATS_075,2.23606797749979,1.7320508075688772,1.4142135623730951
BRATS_076,2.449489742783178,3.1622776601683795,1.7320508075688772
BRATS_077,1.4142135623730951,1.0,1.0
BRATS_078,4.123105625617661,1.4142135623730951,1.4142135623730951
BRATS_079,3.3166247903554,2.0,3.3166247903554
BRATS_080,2.23606797749979,3.605551275463989,2.0
BRATS_081,2.0,1.7320508075688772,1.4142135623730951
BRATS_082,7.810249675906654,1.4142135623730951,1.4142135623730951
BRATS_083,1.4142135623730951,1.0,1.0
BRATS_084,2.23606797749979,2.23606797749979,2.23606797749979
BRATS_085,2.23606797749979,3.1622776601683795,4.123105625617661
BRATS_086,87.82368700982668,109.64123302861447,111.81323684079682
BRATS_087,26.309692933180717,373.13,373.13
BRATS_088,5.0,2.0,2.0
BRATS_089,9.848857801796104,1.4142135623730951,1.4142135623730951
BRATS_090,2.23606797749979,1.0,1.0
BRATS_091,9.0,1.0,1.0
BRATS_092,1.4142135623730951,1.4142135623730951,1.0
BRATS_093,1.0,1.4142135623730951,1.0
BRATS_094,38.49675310984031,1.0,1.0
BRATS_095,1.0,2.449489742783178,1.4142135623730951
BRATS_096,1.0,1.7320508075688772,1.0
BRATS_097,1.4142135623730951,1.0,1.0
BRATS_098,1.0,1.4142135623730951,1.0
BRATS_099,7.54983443527075,2.0,2.0
BRATS_100,1.4142135623730951,2.0,1.0
BRATS_101,4.242640687119285,4.0,2.8284271247461903
BRATS_102,1.7320508075688772,1.7320508075688772,1.0
BRATS_103,5.0,1.4142135623730951,1.0
BRATS_104,1.4142135623730951,2.23606797749979,1.0
BRATS_105,3.605551275463989,1.4142135623730951,1.0
BRATS_106,2.23606797749979,1.4142135623730951,1.0
BRATS_107,1.4142135623730951,1.0,1.0
BRATS_108,1.4142135623730951,1.0,1.0
BRATS_109,1.4142135623730951,1.0,1.0
BRATS_110,5.0,1.4142135623730951,1.0
BRATS_111,1.4142135623730951,1.0,1.0
BRATS_112,1.0,1.0,1.0
BRATS_113,6.708203932499369,6.0,4.375884495259468
BRATS_114,30.099833886584822,1.0,1.0
BRATS_115,1.4142135623730951,1.0,1.0
BRATS_116,1.0,1.0,1.0
BRATS_117,1.4142135623730951,4.123105625617661,1.0
BRATS_118,1.0,1.0,1.0
BRATS_119,15.556349186104045,1.0,1.0
BRATS_120,37.067505985701274,1.4142135623730951,1.0
BRATS_121,1.0,1.0,1.0
BRATS_122,1.0,1.0,1.0
BRATS_123,3.605551275463989,7.280109889280518,1.4142135623730951
BRATS_124,1.4142135623730951,1.4142135623730951,1.0
BRATS_125,1.0,1.4142135623730951,1.0
BRATS_126,2.449489742783178,2.09442719099983,1.4142135623730951
BRATS_127,1.0,1.0,1.0
BRATS_128,3.7416573867739413,7.162230647653482,7.0710678118654755
BRATS_129,2.23606797749979,3.0,2.23606797749979
BRATS_130,4.123105625617661,1.4142135623730951,1.4142135623730951
BRATS_131,2.23606797749979,2.0,1.4142135623730951
BRATS_132,8.94427190999916,2.23606797749979,2.23606797749979
BRATS_133,3.0,14.62018400857745,1.4142135623730951
BRATS_134,4.242640687119285,7.280109889280518,5.0
BRATS_135,3.0,7.874007874011811,2.0
BRATS_136,3.0,2.23606797749979,2.23606797749979
BRATS_137,2.23606797749979,2.8284271247461903,2.0
BRATS_138,3.1622776601683795,8.06225774829855,1.7320508075688772
BRATS_139,2.449489742783178,1.4142135623730951,1.4142135623730951
BRATS_140,1.7320508075688772,2.23606797749979,1.0
BRATS_141,2.449489742783178,3.7416573867739413,5.0
BRATS_142,1.4142135623730951,1.0,1.4142135623730951
BRATS_143,3.0,2.23606797749979,2.8284271247461903
BRATS_144,2.449489742783178,3.1622776601683795,1.4142135623730951
BRATS_145,2.23606797749979,2.0,1.4142135623730951
BRATS_146,3.0,1.4142135623730951,1.4142135623730951
BRATS_147,7.0710678118654755,11.357816691600547,15.394804318340652
BRATS_148,3.3166247903554,7.615773105863909,2.23606797749979
BRATS_149,3.605551275463989,5.0,2.23606797749979
BRATS_150,1.7320508075688772,1.4142135623730951,1.4142135623730951
BRATS_151,1.4142135623730951,1.4142135623730951,1.0
BRATS_152,1.0,1.0,1.0
BRATS_153,1.7320508075688772,1.0,1.0
BRATS_154,1.7320508075688772,1.0,1.0
BRATS_155,1.0,1.4142135623730951,1.0
BRATS_156,1.4142135623730951,5.477225575051661,1.0
BRATS_157,1.7320508075688772,1.4142135623730951,1.0
BRATS_158,8.366600265340756,3.605551275463989,2.23606797749979
BRATS_159,14.352700094407323,2.0,3.0
BRATS_160,11.489125293076057,7.3484692283495345,2.449489742783178
BRATS_161,1.4142135623730951,2.23606797749979,1.4142135623730951
BRATS_162,1.4142135623730951,1.0,1.0
BRATS_163,1.0,2.23606797749979,2.0
BRATS_164,11.180339887498949,1.4142135623730951,1.4142135623730951
BRATS_165,1.0,1.4142135623730951,1.4142135623730951
BRATS_166,1.7320508075688772,1.0,1.0
BRATS_167,2.449489742783178,3.1622776601683795,3.0
BRATS_168,3.1622776601683795,2.449489742783178,2.23606797749979
BRATS_169,2.23606797749979,1.0,1.0
BRATS_170,2.0,1.4142135623730951,1.0
