Case_ID,Dice_ET,Dice_TC,Dice_WT
BRATS_179,0.8655974315627974,0.9179381872059473,0.9467871633002798
BRATS_341,0.9671387706690854,0.9669995370676543,0.8795431690849016
BRATS_306,0.0,0.754586261820693,0.9148715612671882
BRATS_004,0.8737638161721931,0.9210382513661202,0.9532875329917715
BRATS_007,0.8729621170355202,0.9225191630412264,0.9183074885833447
BRATS_132,0.9050711260723205,0.9298950571528889,0.9161371380267664
BRATS_134,0.775748336216248,0.9021530739109722,0.8961446227633278
BRATS_282,0.7925273935692474,0.5102499064410163,0.9557799541054222
BRATS_026,0.7199724768785543,0.8338349216964833,0.943292061663861
BRATS_228,0.8920568488970267,0.9303784794072492,0.9047191698409216
BRATS_053,0.8446740104358825,0.8547136268775926,0.9557857571114516
BRATS_212,0.7217516336147374,0.8919347871457485,0.9463533507397737
BRATS_353,0.9001564582488266,0.957549294798489,0.9693038592533136
BRATS_056,0.8742253750815394,0.9272288272868975,0.8870020105014542
BRATS_348,0.8740057230016766,0.9264750004412206,0.9779790851050134
BRATS_344,0.6313871384101435,0.6688274026815871,0.9209178835577471
BRATS_063,0.7670953255766483,0.8543985363622504,0.8897996040704338
BRATS_097,0.9173922549612233,0.9687095040930497,0.9562022035785337
BRATS_129,0.810616085869725,0.8049812310075671,0.9421257243453385
BRATS_154,0.9171504614857818,0.9681338028169014,0.9519907164936279
BRATS_074,0.25714007213178675,0.19698841860562524,0.7519029316451881
BRATS_153,0.9585340068131094,0.9704854228981225,0.9481290072031636
BRATS_124,0.9310007729732187,0.9721339510587358,0.9780801594582045
BRATS_304,0.0,0.8058675406690915,0.915325042578489
BRATS_003,0.8532391771568928,0.9135357694287185,0.7693837905043127
BRATS_233,0.8291758762235554,0.8323251124554056,0.9486600511022639
BRATS_027,0.8528720503901476,0.9296062992125984,0.7247143716175586
BRATS_311,0.8650793650793651,0.6253289097357282,0.8531721617024357
BRATS_301,0.5578583765112263,0.7132010669005079,0.90583264230668
BRATS_102,0.8512483390446884,0.9274671340929009,0.9283402094573151
