Case_ID,HD95_WT,HD95_TC,HD95_ET
BRATS_064,7.0,4.17091965021805,2.23606797749979
BRATS_078,4.69041575982343,1.4142135623730951,1.4142135623730951
BRATS_173,4.0,4.123105625617661,3.1622776601683795
BRATS_166,1.7320508075688772,1.0,1.4142135623730951
BRATS_155,1.0,1.4142135623730951,1.0
BRATS_159,16.087257232386644,2.23606797749979,3.0
BRATS_083,1.7320508075688772,1.0,1.0
BRATS_160,12.884098726725126,6.708203932499369,2.8284271247461903
BRATS_070,2.449489742783178,6.4031242374328485,1.7320508075688772
BRATS_158,9.273618495495704,2.23606797749979,2.23606797749979
BRATS_062,1.7320508075688772,1.4142135623730951,1.0
BRATS_080,2.23606797749979,3.605551275463989,2.23606797749979
BRATS_066,2.23606797749979,1.7320508075688772,1.4142135623730951
BRATS_154,2.0,1.4142135623730951,1.0
BRATS_178,1.4142135623730951,1.4142135623730951,1.4142135623730951
BRATS_063,2.0,2.0,1.4142135623730951
BRATS_183,1.4142135623730951,1.4142135623730951,1.4142135623730951
BRATS_179,3.0,3.0,3.1622776601683795
BRATS_171,6.928203230275509,5.830951894845301,3.7416573867739413
BRATS_091,9.055385138137417,1.0,1.4142135623730951
BRATS_089,17.320508075688775,1.4142135623730951,1.4142135623730951
BRATS_153,2.0,1.0,1.0
BRATS_073,2.0,1.0,1.0
BRATS_175,2.0,4.123105625617661,2.0
BRATS_060,3.7416573867739413,1.7320508075688772,1.0
BRATS_167,2.449489742783178,3.0,3.1622776601683795
BRATS_170,1.7320508075688772,1.4142135623730951,1.0
BRATS_181,1.4142135623730951,1.4142135623730951,1.4142135623730951
BRATS_068,2.23606797749979,3.4641016151377544,1.0
BRATS_184,2.23606797749979,1.4142135623730951,1.0
BRATS_088,5.830951894845301,1.7320508075688772,1.7320508075688772
BRATS_168,2.8284271247461903,5.477225575051661,3.7416573867739413
BRATS_165,1.4142135623730951,1.4142135623730951,1.4142135623730951
BRATS_164,8.774964387392123,1.4142135623730951,1.4142135623730951
BRATS_217,52.07926634198003,2.0,1.0
BRATS_223,1.0,1.4142135623730951,1.0
BRATS_222,2.23606797749979,2.23606797749979,1.0
BRATS_218,20.904544960366874,2.23606797749979,1.4142135623730951
BRATS_220,5.0,6.708203932499369,3.605551275463989
BRATS_221,1.4142135623730951,2.23606797749979,1.7320508075688772
BRATS_137,3.0,3.0,2.23606797749979
BRATS_185,2.23606797749979,1.4142135623730951,1.0
BRATS_176,1.7320508075688772,5.0990195135927845,2.23606797749979
BRATS_182,2.449489742783178,1.4142135623730951,1.0
BRATS_169,2.23606797749979,1.0,1.0
BRATS_157,1.7320508075688772,1.4142135623730951,1.0
BRATS_180,45.749316934791494,1.7320508075688772,1.4142135623730951
BRATS_177,3.3166247903554,10.488088481701515,10.63014581273465
BRATS_161,1.7320508075688772,2.23606797749979,1.4142135623730951
BRATS_150,1.7320508075688772,1.4142135623730951,1.0
BRATS_144,3.0,3.1622776601683795,1.4142135623730951
BRATS_152,1.4142135623730951,1.0,1.0
BRATS_141,4.123105625617661,5.744562646538029,6.164414002968976
BRATS_139,2.8284271247461903,1.4142135623730951,1.4142135623730951
BRATS_143,2.8284271247461903,2.449489742783178,2.449489742783178
BRATS_147,9.848857801796104,12.328828005937952,21.897479502423845
BRATS_148,7.280109889280518,9.692774267140617,6.4031242374328485
BRATS_151,1.0,1.4142135623730951,1.0
BRATS_146,3.1622776601683795,1.7320508075688772,1.4142135623730951
BRATS_138,4.0,8.94427190999916,1.4142135623730951
BRATS_112,1.0,1.0,1.0
BRATS_134,4.58257569495584,7.810249675906654,6.164414002968976
BRATS_126,3.0,3.1622776601683795,1.4142135623730951
BRATS_133,3.1622776601683795,14.7648230602334,1.7320508075688772
BRATS_145,2.449489742783178,4.69041575982343,2.449489742783178
BRATS_128,3.4641016151377544,3.7416573867739413,3.0
BRATS_130,4.47213595499958,1.4142135623730951,1.4142135623730951
BRATS_121,1.0,1.0,1.0
BRATS_127,1.0,1.0,1.0
BRATS_136,7.810249675906654,13.30413469565007,14.317821063276353
BRATS_129,2.23606797749979,2.449489742783178,1.7320508075688772
BRATS_122,1.0,1.0,1.0
BRATS_123,3.3166247903554,6.928203230275509,1.4142135623730951
BRATS_135,2.449489742783178,8.774964387392123,3.0
BRATS_131,2.23606797749979,2.23606797749979,1.4142135623730951
BRATS_132,7.54983443527075,2.0,2.23606797749979
BRATS_140,1.7320508075688772,2.23606797749979,1.4142135623730951
BRATS_124,1.4142135623730951,1.4142135623730951,1.0
BRATS_125,1.0,2.0,1.0
BRATS_142,1.4142135623730951,1.0,1.4142135623730951
BRATS_149,3.3166247903554,5.0,2.23606797749979
BRATS_084,3.0,3.0,2.23606797749979
BRATS_075,2.23606797749979,1.7320508075688772,1.4142135623730951
BRATS_028,5.744562646538029,3.1622776601683795,2.23606797749979
BRATS_009,3.7416573867739413,9.0,5.385164807134504
BRATS_007,2.23606797749979,9.899494936611665,1.0
BRATS_003,5.385164807134504,1.4142135623730951,1.4142135623730951
BRATS_011,6.0,2.23606797749979,2.23606797749979
BRATS_015,2.23606797749979,7.0710678118654755,1.4142135623730951
BRATS_018,4.69041575982343,14.434324619386706,14.317821063276353
BRATS_016,2.23606797749979,5.385164807134504,3.7416573867739413
BRATS_010,4.358898943540674,2.23606797749979,2.0
BRATS_008,6.708203932499369,15.84297951775486,1.7320508075688772
BRATS_023,1.4142135623730951,1.0,1.0
BRATS_013,4.123105625617661,1.4142135623730951,1.4142135623730951
BRATS_004,1.4142135623730951,2.8284271247461903,1.4142135623730951
BRATS_024,3.605551275463989,2.449489742783178,2.23606797749979
BRATS_027,11.224972160321824,3.0,1.4142135623730951
BRATS_046,19.72308292331602,2.862741699796921,2.23606797749979
BRATS_012,18.87723074136546,1.4142135623730951,1.4142135623730951
BRATS_051,1.7320508075688772,1.4142135623730951,1.4142135623730951
